dataset,seed,radius,prior_log_mass,posterior_log_mass,prior_mass,posterior_mass
Breast Cancer,0,0.03,-25.49838985504644,-13.713809944879692,8.43703767718337e-12,1.1070519852299838e-06
Breast Cancer,0,0.03374859189280695,-24.909691366229925,-13.127039124019042,1.5200521701017985e-11,1.990670335342103e-06
Breast Cancer,0,0.037965581824907835,-24.32099500703853,-12.540780774615428,2.7385840476466254e-11,3.5777345160323854e-06
Breast Cancer,0,0.04270949756605945,-23.732301341101156,-11.955170064046982,4.933924331405219e-11,6.425924387139878e-06
Breast Cancer,0,0.048046180110125715,-23.14361108149209,-11.37037750803304,8.889092305480835e-11,1.1532083839733137e-05
Breast Cancer,0,0.05404969748483107,-22.554925130397372,-10.786618033211685,1.6014761530033763e-10,2.067432360451519e-05
Breast Cancer,0,0.06080337274484124,-21.96624462931885,-10.204162254186114,2.8852348504669136e-10,3.701592789932307e-05
Breast Cancer,0,0.06840094041572894,-21.37757102261879,-9.623350440224844,5.198031037882785e-10,6.616556210809915e-05
Breast Cancer,0,0.07694784743915471,-20.788906137955724,-9.044609707759541,9.364676501857974e-10,0.00011802551739586952
Breast Cancer,0,0.08656271667513342,-20.200252288110004,-8.46847501542398,1.6871041674907272e-09,0.00020998488302692152
Breast Cancer,0,0.09737899327339176,-19.61161239990058,-7.895614533939611,3.039379665048839e-09,0.0003723729940180075
Breast Cancer,0,0.1095467967638697,-19.02299017742203,-7.326859873553026,5.4754565454584295e-09,0.0006576354065772654
Breast Cancer,0,0.12323500457160347,-18.434390308772254,-6.763241414592942,9.863839832747065e-09,0.0011554777148454444
Breast Cancer,0,0.1386335958731748,-17.845818727911208,-6.206028509647247,1.7768853283256795e-08,0.002017232997858373
Breast Cancer,0,0.1559562883252034,-17.257282946438092,-5.656773480136524,3.2007904582802164e-08,0.0034937714549202934
Breast Cancer,0,0.17544350426014077,-16.668792474090765,-5.117356951880716,5.76547918446414e-08,0.005991838702842925
Breast Cancer,0,0.19736570751731428,-16.080359351907642,-4.590029986729508,1.0384573545788677e-07,0.010152553926916684
Breast Cancer,0,0.22202715722123137,-15.491998828578769,-4.077445547418927,1.8702962155878123e-07,0.01695071018151532
Breast Cancer,0,0.24977013060598077,-14.903730218984233,-3.5826681604093342,3.3681560618961967e-07,0.0278014205572521
Breast Cancer,0,0.2809796734944778,-14.315577994856323,-3.109146769251776,6.064897585491493e-07,0.04463902648619752
Breast Cancer,0,0.3160889443646427,-13.727573171687734,-2.6606331063938518,1.0919197507264167e-06,0.06990395109372508
Breast Cancer,0,0.3555852261730161,-13.139755074503928,-2.2410290321565256,1.965517331031016e-06,0.10634901150041946
Breast Cancer,0,0.4000166893741525,-12.552173589378642,-1.8541546661602437,3.537205358388744e-06,0.15658525355728142
Breast Cancer,0,0.45,-11.964892039611092,-1.5034473794755303,6.363754404472368e-06,0.2223622701785173
Breast Cancer,1,0.03,-25.370876214696818,-13.440974432189824,9.584477868798313e-12,1.4543166381203759e-06
Breast Cancer,1,0.03374859189280695,-24.78217872782675,-12.854563636379291,1.7267780877525426e-11,2.614170716459415e-06
Breast Cancer,1,0.037965581824907835,-24.19348364931929,-12.268759816280916,3.11102537248527e-11,4.696186243097013e-06
Breast Cancer,1,0.04270949756605945,-23.604791618395677,-11.683722581787418,5.6049178762240485e-11,8.429925851420968e-06
Breast Cancer,1,0.048046180110125715,-23.01610344398805,-11.099652995190528,1.0097951474275825e-10,1.5117568778863187e-05
Breast Cancer,1,0.05404969748483107,-22.42742014980883,-10.516804027681598,1.8192617376325007e-10,2.7077592214070394e-05
Breast Cancer,1,0.06080337274484124,-21.83874303139364,-9.93549346938222,3.2775883687893646e-10,4.8425042579588304e-05
Breast Cancer,1,0.06840094041572894,-21.250073728301395,-9.356119758164043,5.904868626960794e-10,8.643483693408526e-05
Breast Cancer,1,0.07694784743915471,-20.661414315503087,-8.779181212102612,1.0638043808621441e-09,0.0001539040483953362
Breast Cancer,1,0.08656271667513342,-20.07276741906547,-8.20529912065733,1.9164958067839763e-09,0.0002732019969928352
Breast Cancer,1,0.09737899327339176,-19.484136362598512,-7.635245032436279,3.452606573575698e-09,0.00048312022007490635
Breast Cancer,1,0.1095467967638697,-18.89552535266393,-7.06997231662991,6.219816994937502e-09,0.0008502566468103429
Breast Cancer,1,0.12323500457160347,-18.306939713536217,-6.51065159384987,1.1204619217512856e-08,0.001487510154742908
Breast Cancer,1,0.1386335958731748,-17.718386184494555,-5.958708834227703,2.018378688055195e-08,0.0025832452174841506
Breast Cancer,1,0.1559562883252034,-17.12987329636772,-5.415863705928439,3.6357210250384216e-08,0.004445496552403355
Breast Cancer,1,0.17544350426014077,-16.541411848565662,-4.8841640606164445,6.548715315596284e-08,0.007565445373173131
Breast Cancer,1,0.19736570751731428,-15.953015513583075,-4.3660103139577355,1.1794876359674373e-07,0.012701815868615862
Breast Cancer,1,0.22202715722123137,-15.364701603307244,-3.864161212496208,2.124197422806935e-07,0.02098051325088092
Breast Cancer,1,0.24977013060598077,-14.77649204086789,-3.3817107549144008,3.8251726751531277e-07,0.03398925767873264
Breast Cancer,1,0.2809796734944778,-14.188414593840438,-2.9220259565709066,6.887313231707415e-07,0.053824530602877035
Breast Cancer,1,0.3160889443646427,-13.600504440164801,-2.4886378773145466,1.2398694822157239e-06,0.08302297707110191
Breast Cancer,1,0.3555852261730161,-13.01280615824863,-2.085084115786058,2.231567826644179e-06,0.1242966644144071
Breast Cancer,1,0.4000166893741525,-12.425376258841375,-1.7147079624452637,4.01538928004294e-06,0.18001628455298455
Breast Cancer,1,0.45,-11.838286410367369,-1.380424501760734,7.222666077798074e-06,0.25147178018525973
Breast Cancer,2,0.03,-25.572223313918673,-13.917110584608242,7.836543068722157e-12,9.033908116716258e-07
Breast Cancer,2,0.03374859189280695,-24.98352408401086,-13.33018872347736,1.4118655837901837e-11,1.6246978084978269e-06
Breast Cancer,2,0.037965581824907835,-24.39482680269519,-12.74373937660738,2.54367330717135e-11,2.920547741390948e-06
Breast Cancer,2,0.04270949756605945,-23.806131987508017,-12.157887190222501,4.5827719093054956e-11,5.246826238173426e-06
Breast Cancer,2,0.048046180110125715,-23.21744029344368,-11.572789418279203,8.256458392050357e-11,9.418926662485823e-06
Breast Cancer,2,0.05404969748483107,-22.628752549471592,-10.988644289084903,1.487502264023158e-10,1.6892441424262818e-05
Breast Cancer,2,0.06080337274484124,-22.04006980476025,-10.405701420542147,2.679904407866807e-10,3.0259468308084778e-05
Breast Cancer,2,0.06840094041572894,-21.451393387191757,-9.824274726423816,4.828121857908576e-10,5.4121733395992224e-05
Breast Cancer,2,0.07694784743915471,-20.862724977440706,-9.244758314961508,8.698285632434616e-10,9.661676172641541e-05
Breast Cancer,2,0.08656271667513342,-20.27406670276622,-8.66764592282064,1.5670566806785706e-09,0.00017206367901772353
Breast Cancer,2,0.09737899327339176,-19.68542125577758,-8.093554430567824,2.8231254340331975e-09,0.0003055019395599133
Breast Cancer,2,0.1095467967638697,-19.096792044846232,-7.523251934793151,5.085909089072391e-09,0.0005403724495350845
Breast Cancer,2,0.12323500457160347,-18.50818338463364,-6.957690652547138,9.162164522120549e-09,0.0009512909010537699
Breast Cancer,2,0.1386335958731748,-17.91960073749327,-6.398044525281605,1.6505028622137322e-08,0.0016648095852854748
Breast Cancer,2,0.1559562883252034,-17.331051019425388,-5.8457506610499,2.9731729756911114e-08,0.0028921628636201773
Breast Cancer,2,0.17544350426014077,-16.74254298799726,-5.302552566356107,5.355573294442252e-08,0.004978868780014796
Breast Cancer,2,0.19736570751731428,-16.15408773442722,-4.770541327628125,9.64647930118236e-08,0.008475790738178151
Breast Cancer,2,0.22202715722123137,-15.565699308184929,-4.252188417766256,1.7374114667557148e-07,0.014233051938124951
Breast Cancer,2,0.24977013060598077,-14.977395510401076,-3.7503607258934784,3.12895830907654e-07,0.023509263926040462
Breast Cancer,2,0.2809796734944778,-14.389198902673698,-3.268305259449088,5.634434278867343e-07,0.038070892719174854
Breast Cancer,2,0.3160889443646427,-13.801138091271731,-2.809588992711343,1.0144762471898083e-06,0.0602297421688812
Breast Cancer,2,0.3555852261730161,-13.213249364321342,-2.3779806870737787,1.8262436255953665e-06,0.09273765490817369
Breast Cancer,2,0.4000166893741525,-12.62557878277342,-1.9772687919866256,3.286856954544987e-06,0.1384468485509267
Breast Cancer,2,0.45,-12.038184856827648,-1.6110239509720305,5.914019396215104e-06,0.19968304371130077
Breast Cancer,3,0.03,-25.07087884927742,-12.930938294276885,1.2937657781867546e-11,2.42194821469744e-06
Breast Cancer,3,0.03374859189280695,-24.482183850178203,-12.344829462948947,2.330894670789736e-11,4.352198392451125e-06
Breast Cancer,3,0.037965581824907835,-23.893491929603513,-11.759407619276438,4.1994102271874445e-11,7.81545308630818e-06
Breast Cancer,3,0.04270949756605945,-23.304803905902784,-11.174853516894675,7.565754796124238e-11,1.4022413883453909e-05
Breast Cancer,3,0.048046180110125715,-22.716120814838263,-10.591394913714609,1.3630571959346e-10,2.5131339281090978e-05
Breast Cancer,3,0.05404969748483107,-22.127443967332436,-10.009318463679286,2.455687990726041e-10,4.497883718099758e-05
Breast Cancer,3,0.06080337274484124,-21.538775022553676,-9.42898441830265,4.424139991584568e-10,8.036077143679144e-05
Breast Cancer,3,0.06840094041572894,-20.950116080414922,-8.85084468148772,7.970401353190916e-10,0.0001432606755140737
Breast Cancer,3,0.07694784743915471,-20.361469798643448,-8.275464790307897,1.4359060422580428e-09,0.000254689655740459
Breast Cancer,3,0.08656271667513342,-19.772839540951114,-7.703550368919443,2.586812171970281e-09,0.0004512223299266117
