seed,dimension,epsilon,tau,family,objective,learned_means,learned_scales,learned_weights,learned_weight_component_2,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",0.010076069087967416,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",0.010136600459686826,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian,exclusive_kl,"[1.5038401633186607,1.5017225150945033]","[1.0024470989940253,0.9995496891209928]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5036424634420278,1.5089684801443215],[0.00344681344617819,-0.00047057546972395503]]","[[1.0002934102197842,0.9991434364469821],[0.10168665323650984,0.0986891335884382]]","[0.9897572813236342,0.010242718676365918]",0.010242718676365918,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian,inclusive_kl,"[1.5014017185219863,1.4895672415392822]","[1.0002663551133855,1.0052932165033543]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5170071506546707,1.5049454823745672],[-0.0003156666909744836,0.008153783408374101]]","[[0.9935034553790916,0.9990245190855841],[0.10067934897845814,0.10005501849648264]]","[0.9897782979081785,0.010221702091821586]",0.010221702091821586,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,"[1.502542022096624,1.4990307542044543]","[0.9997621572906612,0.9993798044714279]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5031950762139903,1.5089982845315821],[0.0011599858648910298,0.0020453953526188644]]","[[1.0005370276766186,0.9990711125032421],[0.05078500950643648,0.05000969078621815]]","[0.9497706595741662,0.05022934042583396]",0.05022934042583396,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,"[1.4432924446960218,1.4291358682623725]","[1.0243810352106633,1.0293968966763147]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5233377389742044,1.5081056576051275],[0.0034918487893579654,0.0033924504092350586]]","[[0.9925119352321348,0.9999404839816133],[0.04992097418774415,0.051282555133554925]]","[0.9485681406836293,0.05143185931637065]",0.05143185931637065,cpu,False,,cpu,cpu,65536,0.0,0.0
