seed,dimension,epsilon,tau,family,objective,radius,q_inside_count,q_total_count,q_mass_reliability,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,0.03535533905932738,15,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,0.05303300858899108,38,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,0.07071067811865477,63,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,0.10606601717798216,148,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,0.14142135623730953,272,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.03535533905932738,550,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.05303300858899108,1095,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.07071067811865477,1625,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.10606601717798216,2381,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.14142135623730953,2747,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,0.03535533905932738,20,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
