a_p,a_q,r,mc_p_mass,mc_q_mass,mc_local_mass_ratio,mc_samples,mc_p_count_inside,mc_q_count_inside
0.5,0.25,0.0001,0.0089,0.097075,10.907303370786517,200000,1780,19415
0.5,0.25,0.00012295426265956227,0.00991,0.10232,10.324924318869828,200000,1982,20464
0.5,0.25,0.00015117750706156616,0.010925,0.10753,9.842562929061785,200000,2185,21506
0.5,0.25,0.00018587918911465635,0.01219,0.112995,9.269483182936833,200000,2438,22599
0.5,0.25,0.00022854638641349906,0.013615,0.119195,8.754682335659199,200000,2723,23839
0.5,0.25,0.0002810075242497918,0.015005,0.125475,8.3622125958014,200000,3001,25095
0.5,0.25,0.0003455107294592218,0.01667,0.132085,7.923515296940612,200000,3334,26417
0.5,0.25,0.0004248201698162612,0.018625,0.139025,7.464429530201343,200000,3725,27805
0.5,0.25,0.0005223345074266843,0.02072,0.146255,7.058638996138996,200000,4144,29251
0.5,0.25,0.0006422325422229357,0.02294,0.15416,6.720139494333043,200000,4588,30832
0.5,0.25,0.0007896522868499724,0.025575,0.162495,6.35366568914956,200000,5115,32499
0.5,0.25,0.0009709111468707553,0.028305,0.17154,6.0604133545310015,200000,5661,34308
0.5,0.25,0.0011937766417144358,0.03142,0.180735,5.7522278803310005,200000,6284,36147
0.5,0.25,0.0014677992676220704,0.035055,0.19047,5.433461703038082,200000,7011,38094
0.5,0.25,0.0018047217668271701,0.038785,0.20059,5.171844785355163,200000,7757,40118
0.5,0.25,0.0022189823414589718,0.0429,0.21199,4.941491841491842,200000,8580,42398
0.5,0.25,0.0027283333764867696,0.04775,0.222925,4.668586387434555,200000,9550,44585
0.5,0.25,0.0033546021859540433,0.052935,0.23449,4.4297723623311605,200000,10587,46898
0.5,0.25,0.004124626382901352,0.058905,0.246815,4.1900517782870725,200000,11781,49363
0.5,0.25,0.005071403956558132,0.06555,0.26026,3.9704042715484364,200000,13110,52052
0.5,0.25,0.006235507341273912,0.072685,0.274285,3.773612162069203,200000,14537,54857
0.5,0.25,0.007666822074546214,0.080455,0.28887,3.590454291218694,200000,16091,57774
0.5,0.25,0.009426684551178854,0.089585,0.30373,3.39041134118435,200000,17917,60746
0.5,0.25,0.011590510483144828,0.100165,0.32025,3.197224579443917,200000,20033,64050
0.5,0.25,0.014251026703029978,0.11095,0.337255,3.039702568724651,200000,22190,67451
