a_p,a_q,alpha,estimated_MI_p,estimated_MI_q,theoretical_MI_p,theoretical_MI_q,mi_preserved_theoretical,mi_preserved_estimated,metrics_match_theoretical_classification,min_local_mass_ratio,max_normalised_local_rekl_q_p,max_normalised_local_rekl_p_q,warning_count
0.5,0.25,0.3,2.001873410486283,4.00415941399671,2.0,4.0,True,True,True,1.4058352376007044,2.7345947330701605,0.3725465124321349,0
0.5,0.5,0.3,2.001873410486283,2.001873410486283,2.0,2.0,True,True,True,1.0,2.481618271624823e-16,2.481618271624823e-16,0
0.5,1.0,0.3,2.001873410486283,1.000781573356277,2.0,1.0,False,False,True,0.008600399867511594,0.6788805166259206,45.14541835784966,0
0.5,2.0,0.3,2.001873410486283,0.5002935022904094,2.0,0.5,False,False,True,5.389501365768068e-07,0.9849954060613458,795105.4413663354,0
0.5,4.0,0.3,2.001873410486283,0.2500979459930443,2.0,0.25,False,False,True,1.3473753403192089e-15,0.9999702618573438,318078723653538.6,0
1.0,0.25,0.3,1.000781573356277,4.00415941399671,1.0,4.0,True,True,True,2.9261820580454363,513.7697191757446,0.8652009800682682,0
1.0,0.5,0.3,1.000781573356277,2.001873410486283,1.0,2.0,True,True,True,2.081454483271781,45.14541835784966,0.6788805166259206,0
1.0,1.0,0.3,1.000781573356277,1.000781573356277,1.0,1.0,True,True,True,1.0,-1.0176732424866934e-16,-1.0176732424866934e-16,0
1.0,2.0,0.3,1.000781573356277,0.5002935022904094,1.0,0.5,False,False,True,6.26657068135536e-05,0.9258315236031461,6815.118189248495,0
1.0,4.0,0.3,1.000781573356277,0.2500979459930443,1.0,0.25,False,False,True,1.56664266903331e-13,0.9998358437575166,2735604204584.4067,0
2.0,0.25,0.3,0.5002935022904094,4.00415941399671,0.5,4.0,True,True,True,14.889954952535621,8346106.962129734,0.9944072570654735,0
2.0,0.5,0.3,0.5002935022904094,2.001873410486283,0.5,2.0,True,True,True,10.591536301186936,795105.4413663354,0.9849954060613458,0
2.0,1.0,0.3,0.5002935022904094,1.000781573356277,0.5,1.0,True,True,True,5.088526502168998,6815.118189248495,0.9258315236031461,0
2.0,2.0,0.3,0.5002935022904094,0.5002935022904094,0.5,0.5,True,True,True,1.0,-1.1572288271402409e-16,-1.1572288271402409e-16,0
2.0,4.0,0.3,0.5002935022904094,0.2500979459930443,0.5,0.25,False,False,True,2.499999997916675e-09,0.9964465559928081,171428052.82437807,0
0.5,0.25,0.5,2.001873410486283,4.00415941399671,2.0,4.0,True,True,True,1.4058352376007044,5.386955904374126,0.5132463264121943,0
0.5,0.5,0.5,2.001873410486283,2.001873410486283,2.0,2.0,True,True,True,1.0,0.0,0.0,0
0.5,1.0,0.5,2.001873410486283,1.000781573356277,2.0,1.0,False,False,True,0.008600399867511594,0.833731307323764,96.94099346162056,0
0.5,2.0,0.5,2.001873410486283,0.5002935022904094,2.0,0.5,False,False,True,5.389501365768068e-07,0.9988259273764001,1853280.7760668513,0
0.5,4.0,0.5,2.001873410486283,0.2500979459930443,2.0,0.25,False,False,True,1.3473753403192089e-15,0.9999999538569017,742183654348305.1,0
1.0,0.25,0.5,1.000781573356277,4.00415941399671,1.0,4.0,True,True,True,2.9261820580454363,1165.4962583874174,0.9550188780262214,0
1.0,0.5,0.5,1.000781573356277,2.001873410486283,1.0,2.0,True,True,True,2.081454483271781,96.94099346162056,0.833731307323764,0
1.0,1.0,0.5,1.000781573356277,1.000781573356277,1.0,1.0,True,True,True,1.0,0.0,0.0,0
1.0,2.0,0.5,1.000781573356277,0.5002935022904094,1.0,0.5,False,False,True,6.26657068135536e-05,0.9851357955727551,15720.492844735387,0
1.0,4.0,0.5,1.000781573356277,0.2500979459930443,1.0,0.25,False,False,True,1.56664266903331e-13,0.9999993667067678,6383072454702.214,0
2.0,0.25,0.5,0.5002935022904094,4.00415941399671,0.5,4.0,True,True,True,14.889954952535621,19469073.167146444,0.9997151936360925,0
2.0,0.5,0.5,0.5002935022904094,2.001873410486283,0.5,2.0,True,True,True,10.591536301186936,1853280.7760668513,0.9988259273764001,0
2.0,1.0,0.5,0.5002935022904094,1.000781573356277,0.5,1.0,True,True,True,5.088526502168998,15720.492844735387,0.9851357955727551,0
2.0,2.0,0.5,0.5002935022904094,0.5002935022904094,0.5,0.5,True,True,True,1.0,0.0,0.0,0
2.0,4.0,0.5,0.5002935022904094,0.2500979459930443,0.5,0.25,False,False,True,2.499999997916675e-09,0.9999057215958894,399962288.9716563,0
0.5,0.25,0.8,2.001873410486283,4.00415941399671,2.0,4.0,True,True,True,1.4058352376007044,11.59213092089761,0.6436957355802919,0
0.5,0.5,0.8,2.001873410486283,2.001873410486283,2.0,2.0,True,True,True,1.0,2.3871916570765563e-16,2.3871916570765563e-16,0
0.5,1.0,0.8,2.001873410486283,1.000781573356277,2.0,1.0,False,False,True,0.008600399867511594,0.9267212612916265,251.1236709322379,0
0.5,2.0,0.8,2.001873410486283,0.5002935022904094,2.0,0.5,False,False,True,5.389501365768068e-07,0.9999590656561586,6995235.620779836,0
0.5,4.0,0.8,2.001873410486283,0.2500979459930443,2.0,0.25,False,False,True,1.3473753403192089e-15,0.9999999999949295,2966247123815485.5,0
1.0,0.25,0.8,1.000781573356277,4.00415941399671,1.0,4.0,True,True,True,2.9261820580454363,3667.8852356440984,0.9881441191628274,0
1.0,0.5,0.8,1.000781573356277,2.001873410486283,1.0,2.0,True,True,True,2.081454483271781,251.1236709322379,0.9267212612916265,0
1.0,1.0,0.8,1.000781573356277,1.000781573356277,1.0,1.0,True,True,True,1.0,2.6853260587241495e-16,2.6853260587241495e-16,0
1.0,2.0,0.8,1.000781573356277,0.5002935022904094,1.0,0.5,False,False,True,6.26657068135536e-05,0.9981510187548057,52806.96279261916,0
1.0,4.0,0.8,1.000781573356277,0.2500979459930443,1.0,0.25,False,False,True,1.56664266903331e-13,0.9999999997464628,25459981376281.7,0
2.0,0.25,0.8,0.5002935022904094,4.00415941399671,0.5,4.0,True,True,True,14.889954952535621,75755826.13592643,0.9999943125796378,0
2.0,0.5,0.8,0.5002935022904094,2.001873410486283,0.5,2.0,True,True,True,10.591536301186936,6995235.620779836,0.9999590656561586,0
2.0,1.0,0.8,0.5002935022904094,1.000781573356277,0.5,1.0,True,True,True,5.088526502168998,52806.96279261916,0.9981510187548057,0
2.0,2.0,0.8,0.5002935022904094,0.5002935022904094,0.5,0.5,True,True,True,1.0,1.0617617211432454e-15,1.0617617211432454e-15,0
2.0,4.0,0.8,0.5002935022904094,0.2500979459930443,0.5,0.25,False,False,True,2.499999997916675e-09,0.9999993748540957,1563554600.3522916,0
